Iteration,Guess,Cost
0,0.239965,18.586349
1,0.451108,14.394399
2,0.636912,11.148046
3,0.800410,8.634092
4,0.944282,6.687248
5,1.070901,5.179351
6,1.182343,4.011382
7,1.280399,3.106951
8,1.366695,2.406452
9,1.442634,1.863943
10,1.509459,1.443784
11,1.568265,1.118372
12,1.620016,0.866328
13,1.665558,0.671109
14,1.705631,0.519917
15,1.740896,0.402808
16,1.771929,0.312098
17,1.799238,0.241832
18,1.823271,0.187399
19,1.844420,0.145231
20,1.863029,0.112566
21,1.879407,0.087256
22,1.893819,0.067646
23,1.906501,0.052453
24,1.917661,0.040678
25,1.927483,0.031553
26,1.936125,0.024480
27,1.943731,0.018997
28,1.950423,0.014747
29,1.956313,0.011452
30,1.961495,0.008896
31,1.966056,0.006913
32,1.970069,0.005375
33,1.973601,0.004181
34,1.976709,0.003255
35,1.979444,0.002535
36,1.981851,0.001976
37,1.983969,0.001542
38,1.985833,0.001204
39,1.987473,0.000942
40,1.988916,0.000737
41,1.990186,0.000578
42,1.991304,0.000454
43,1.992288,0.000357
44,1.993153,0.000281
45,1.993915,0.000222
46,1.994585,0.000176
47,1.995175,0.000140
48,1.995694,0.000111
49,1.996151,0.000089
50,1.996553,0.000071
51,1.996906,0.000057
52,1.997218,0.000046
53,1.997492,0.000038
54,1.997733,0.000031
55,1.997945,0.000025
56,1.998131,0.000021
57,1.998296,0.000017
58,1.998440,0.000015
59,1.998567,0.000012
60,1.998679,0.000010
61,1.998778,0.000009
62,1.998864,0.000008
63,1.998941,0.000007
64,1.999008,0.000006
65,1.999067,0.000005
66,1.999119,0.000005
67,1.999165,0.000004
68,1.999205,0.000004
69,1.999240,0.000003
70,1.999271,0.000003
71,1.999299,0.000003
